id,site_name,aoi,start,end,max_cloudy_pixel_percentage,last_run,periodic
1,ne_site1,"[ [ -70.39639431324305, 41.74665247033755 ],  [ -70.37636480232662, 41.73524686892293 ]] ",2024-01-01,2024-01-30,10,11/26/24,False
2,ne_site2,"[ [ -70.47097872551551, 41.76691023460663 ], [ -70.44791895747859, 41.75051870682685 ]] ",2024-01-01,2024-01-30,10,11/26/24,False
3,ne_site3," [ [ -70.54549233591604, 41.84138998056716 ], [ -70.53162306895089, 41.82938440000572 ]] ",2024-01-01,2024-01-30,10,11/26/24,False
4,ne_site4," [ [ -70.55038240942221, 41.90489553250782 ], [ -70.52362432822008, 41.890699347558694 ]] ",2024-01-01,2024-01-30,10,11/26/24,False
5,ne_site5,"[ [ -69.96613864243228, 41.88718294471201 ], [ -69.9467044633087, 41.87014578582179 ]]",2024-01-01,2024-01-30,10,11/26/24,False
6,ne_site6,"[ [ -69.93698263137195, 41.76135359641577 ], [ -69.92233532660708, 41.75161300141522 ]] ",2024-01-01,2024-01-30,10,11/26/24,False
7,ne_site7,"[ [ -70.00105581859673, 41.561003473992855 ], [ -69.97474640058813, 41.54224938452188 ]] ",2024-01-01,2024-01-30,10,11/26/24,False
