id,site_name,aoi,start,end,max_cloudy_pixel_percentage,last_run,periodic
1,ne_site1,"[ [41.735247,-70.396394], [41.746652,-70.376365] ]",2024-01-01,2024-01-30,10,11/26/24,False
2,ne_site2,"[ [41.750519,-70.470979], [41.76691,-70.447919] ]",2024-01-01,2024-01-30,10,11/26/24,False
3,ne_site3,"[ [41.829384,-70.545492], [41.84139,-70.531623] ]",2024-01-01,2024-01-30,10,11/26/24,False
4,ne_site4,"[ [41.890699,-70.550382], [41.904896,-70.523624] ]",2024-01-01,2024-01-30,10,11/26/24,False
5,ne_site5,"[ [41.870146,-69.966139], [41.887183,-69.946704] ]",2024-01-01,2024-01-30,10,11/26/24,False
6,ne_site6,"[ [41.751613,-69.936983], [41.761354,-69.922335] ]",2024-01-01,2024-01-30,10,11/26/24,False
7,ne_site7,"[ [41.542249,-70.001056], [41.561003,-69.974746] ]",2024-01-01,2024-01-30,10,11/26/24,False
,,,,,,
